tripduration,date,start,stop,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
451,4/1/2017,8:54 AM,9:01 AM,3278,Monmouth and 6th,40.72568548,-74.04879034,3185,City Hall,40.7177325,-74.043845,24681,Subscriber,1968,Female
715,4/1/2017,8:55 AM,9:07 AM,3205,JC Medical Center,40.71653978,-74.04963791,3183,Exchange Place,40.7162469,-74.0334588,26276,Subscriber,1963,Male
223,4/1/2017,8:57 AM,9:01 AM,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,29235,Subscriber,1996,Male
2245,4/1/2017,9:11 AM,9:49 AM,3195,Sip Ave,40.73074263,-74.06378388,3195,Sip Ave,40.73074263,-74.06378388,24470,Subscriber,1971,Male
433,4/1/2017,9:14 AM,9:21 AM,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,26256,Subscriber,1956,Male
551,4/1/2017,9:14 AM,9:24 AM,3195,Sip Ave,40.73074263,-74.06378388,3280,Astor Place,40.7192822,-74.07126188,29254,Subscriber,1983,Male
222,4/1/2017,9:19 AM,9:23 AM,3270,Jersey & 6th St,40.72528911,-74.04557168,3185,City Hall,40.7177325,-74.043845,26152,Subscriber,1984,Male
240,4/1/2017,9:19 AM,9:23 AM,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,26217,Subscriber,1987,Female
495,4/1/2017,9:31 AM,9:39 AM,3214,Essex Light Rail,40.7127742,-74.0364857,3202,Newport PATH,40.7272235,-74.0337589,24501,Subscriber,1990,Male
174,4/1/2017,9:37 AM,9:39 AM,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24520,Subscriber,1988,Male
197,4/1/2017,9:37 AM,9:40 AM,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,29279,Subscriber,1994,Male
1023,4/1/2017,9:41 AM,9:58 AM,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,29233,Subscriber,1963,Male
340,4/1/2017,9:44 AM,9:50 AM,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,24377,Subscriber,NULL,N/A
310,4/1/2017,9:45 AM,9:50 AM,3212,Christ Hospital,40.73478582,-74.05044364,3206,Hilltop,40.7311689,-74.0575736,26281,Subscriber,1977,Female
279,4/1/2017,9:48 AM,9:52 AM,3267,Morris Canal,40.71241882,-74.03852552,3187,Warren St,40.7211236,-74.03805095,24504,Subscriber,1963,Male
197,4/1/2017,9:53 AM,9:57 AM,3207,Oakland Ave,40.7376037,-74.0524783,3210,Pershing Field,40.74267714,-74.05178863,29123,Subscriber,1983,Male
468,4/1/2017,9:56 AM,10:04 AM,3206,Hilltop,40.7311689,-74.0575736,3269,Brunswick & 6th,40.72601173,-74.05038893,26281,Subscriber,1979,Male
260,4/1/2017,9:59 AM,10:03 AM,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074263,-74.06378388,29197,Subscriber,1986,Male
189,4/1/2017,10:02 AM,10:06 AM,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,26264,Subscriber,1975,Male
670,4/1/2017,10:03 AM,10:14 AM,3192,Liberty Light Rail,40.7112423,-74.0557013,3187,Warren St,40.7211236,-74.03805095,26231,Subscriber,1979,Male
263,4/1/2017,10:06 AM,10:11 AM,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,26253,Subscriber,NULL,N/A
455,4/1/2017,10:07 AM,10:15 AM,3267,Morris Canal,40.71241882,-74.03852552,3202,Newport PATH,40.7272235,-74.0337589,29234,Subscriber,1981,N/A
194,4/1/2017,10:09 AM,10:12 AM,3207,Oakland Ave,40.7376037,-74.0524783,3210,Pershing Field,40.74267714,-74.05178863,29225,Subscriber,1991,Male
177,4/1/2017,10:09 AM,10:12 AM,3207,Oakland Ave,40.7376037,-74.0524783,3210,Pershing Field,40.74267714,-74.05178863,26202,Subscriber,1990,Male
190,4/1/2017,10:11 AM,10:14 AM,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,26431,Subscriber,1987,Male
219,4/1/2017,10:13 AM,10:16 AM,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,26311,Subscriber,1984,Male
226,4/1/2017,10:13 AM,10:17 AM,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,26177,Subscriber,1990,Male
200,4/1/2017,10:17 AM,10:20 AM,3210,Pershing Field,40.74267714,-74.05178863,3207,Oakland Ave,40.7376037,-74.0524783,29123,Subscriber,1983,Male
183,4/1/2017,10:18 AM,10:21 AM,3185,City Hall,40.7177325,-74.043845,3183,Exchange Place,40.7162469,-74.0334588,24690,Subscriber,1982,Female
160,4/1/2017,10:21 AM,10:23 AM,3184,Paulus Hook,40.7141454,-74.0335519,3267,Morris Canal,40.71241882,-74.03852552,26431,Subscriber,1987,Male
717,4/1/2017,10:26 AM,10:38 AM,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24550,Subscriber,1982,Male
295,4/1/2017,10:29 AM,10:34 AM,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24608,Subscriber,1971,Female
251,4/1/2017,10:31 AM,10:35 AM,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,26160,Subscriber,1980,Male
361,4/1/2017,10:34 AM,10:40 AM,3215,Central Ave,40.7467299,-74.0492509,3206,Hilltop,40.7311689,-74.0575736,29222,Subscriber,1978,Male
214,4/1/2017,10:38 AM,10:41 AM,3270,Jersey & 6th St,40.72528911,-74.04557168,3187,Warren St,40.7211236,-74.03805095,26296,Subscriber,1989,Male
304,4/1/2017,10:43 AM,10:48 AM,3186,Grove St PATH,40.71958612,-74.04311746,3202,Newport PATH,40.7272235,-74.0337589,29212,Subscriber,1984,Male
817,4/1/2017,10:45 AM,10:58 AM,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,26212,Subscriber,1968,Female
622,4/1/2017,10:46 AM,10:56 AM,3185,City Hall,40.7177325,-74.043845,3202,Newport PATH,40.7272235,-74.0337589,29199,Subscriber,1980,Female
891,4/1/2017,10:49 AM,11:04 AM,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,26232,Subscriber,NULL,N/A
109,4/1/2017,10:57 AM,10:59 AM,3185,City Hall,40.7177325,-74.043845,3276,Marin Light Rail,40.71458404,-74.04281706,26315,Subscriber,1983,Male
1151,4/1/2017,10:57 AM,11:16 AM,3186,Grove St PATH,40.71958612,-74.04311746,3267,Morris Canal,40.71241882,-74.03852552,28673,Subscriber,NULL,N/A
452,4/1/2017,10:57 AM,11:05 AM,3279,Dixon Mills,40.72163014,-74.04996783,3279,Dixon Mills,40.72163014,-74.04996783,26303,Subscriber,1982,Male
1896,4/1/2017,10:57 AM,11:29 AM,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,29207,Subscriber,1986,Female
1127,4/1/2017,11:00 AM,11:18 AM,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,26224,Subscriber,1993,Female
346,4/1/2017,11:01 AM,11:07 AM,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,26165,Customer,NULL,N/A
346,4/1/2017,11:10 AM,11:16 AM,3276,Marin Light Rail,40.71458404,-74.04281706,3183,Exchange Place,40.7162469,-74.0334588,29126,Subscriber,1991,Female
248,4/1/2017,11:10 AM,11:15 AM,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,24695,Subscriber,NULL,N/A
470,4/1/2017,11:12 AM,11:20 AM,3211,Newark Ave,40.72152515,-74.04630454,3183,Exchange Place,40.7162469,-74.0334588,26256,Subscriber,1986,Male
314,4/1/2017,11:26 AM,11:32 AM,3279,Dixon Mills,40.72163014,-74.04996783,3183,Exchange Place,40.7162469,-74.0334588,26303,Subscriber,1949,Male
585,4/1/2017,11:27 AM,11:37 AM,3214,Essex Light Rail,40.7127742,-74.0364857,3202,Newport PATH,40.7272235,-74.0337589,26189,Subscriber,1982,Male
411,4/1/2017,11:28 AM,11:35 AM,3184,Paulus Hook,40.7141454,-74.0335519,3213,Van Vorst Park,40.71848892,-74.04772663,29259,Subscriber,1986,Male
99,4/1/2017,11:32 AM,11:34 AM,3187,Warren St,40.7211236,-74.03805095,3275,Columbus Drive,40.7183552,-74.03891444,26296,Subscriber,1984,Male
494,4/1/2017,11:34 AM,11:42 AM,3187,Warren St,40.7211236,-74.03805095,3203,Hamilton Park,40.72759597,-74.04424731,24615,Subscriber,1981,Female
119,4/1/2017,11:34 AM,11:36 AM,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,26171,Subscriber,1989,Male
454,4/1/2017,11:34 AM,11:42 AM,3187,Warren St,40.7211236,-74.03805095,3203,Hamilton Park,40.72759597,-74.04424731,26226,Subscriber,1978,Male
143,4/1/2017,11:35 AM,11:37 AM,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,26271,Subscriber,1983,Male
1663,4/1/2017,11:37 AM,12:04 PM,3279,Dixon Mills,40.72163014,-74.04996783,3271,Danforth Light Rail,40.69263997,-74.08801228,26286,Subscriber,1982,Male
1644,4/1/2017,11:37 AM,12:04 PM,3279,Dixon Mills,40.72163014,-74.04996783,3271,Danforth Light Rail,40.69263997,-74.08801228,29207,Subscriber,1984,Female
213,4/1/2017,11:42 AM,11:46 AM,3269,Brunswick & 6th,40.72601173,-74.05038893,3273,Manila & 1st,40.72165072,-74.04288411,26278,Subscriber,1989,Female
576,4/1/2017,11:44 AM,11:53 AM,3202,Newport PATH,40.7272235,-74.0337589,3267,Morris Canal,40.71241882,-74.03852552,29212,Subscriber,1981,N/A
154,4/1/2017,11:51 AM,11:53 AM,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,26167,Subscriber,1982,Male
166,4/1/2017,11:51 AM,11:54 AM,3272,Jersey & 3rd,40.72333159,-74.04595256,3186,Grove St PATH,40.71958612,-74.04311746,29251,Subscriber,1973,Male
604,4/1/2017,11:57 AM,12:07 PM,3186,Grove St PATH,40.71958612,-74.04311746,3186,Grove St PATH,40.71958612,-74.04311746,29251,Subscriber,1984,Male
500,4/1/2017,11:57 AM,12:05 PM,3206,Hilltop,40.7311689,-74.0575736,3187,Warren St,40.7211236,-74.03805095,29222,Subscriber,1991,Male
368,4/1/2017,12:00 PM,12:06 PM,3267,Morris Canal,40.71241882,-74.03852552,3186,Grove St PATH,40.71958612,-74.04311746,26237,Subscriber,1955,Male
278,4/1/2017,12:04 PM,12:09 PM,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24649,Subscriber,1979,Male
232,4/1/2017,12:06 PM,12:10 PM,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,26431,Subscriber,1981,N/A
969,4/1/2017,12:10 PM,12:26 PM,3267,Morris Canal,40.71241882,-74.03852552,3203,Hamilton Park,40.72759597,-74.04424731,29212,Subscriber,1956,Male
431,4/1/2017,12:14 PM,12:21 PM,3205,JC Medical Center,40.71653978,-74.04963791,3183,Exchange Place,40.7162469,-74.0334588,26213,Subscriber,1956,Male
265,4/1/2017,12:14 PM,12:19 PM,3210,Pershing Field,40.74267714,-74.05178863,3207,Oakland Ave,40.7376037,-74.0524783,26202,Subscriber,1990,Male
230,4/1/2017,12:15 PM,12:18 PM,3210,Pershing Field,40.74267714,-74.05178863,3207,Oakland Ave,40.7376037,-74.0524783,29225,Subscriber,1991,Male
367,4/1/2017,12:17 PM,12:23 PM,3186,Grove St PATH,40.71958612,-74.04311746,3267,Morris Canal,40.71241882,-74.03852552,26237,Subscriber,1955,Male
975,4/1/2017,12:18 PM,12:34 PM,3190,Garfield Ave Station,40.71046702,-74.0700388,3183,Exchange Place,40.7162469,-74.0334588,26156,Subscriber,1988,Male
547,4/1/2017,12:19 PM,12:28 PM,3195,Sip Ave,40.73074263,-74.06378388,3193,Lincoln Park,40.7246051,-74.07840595,24550,Subscriber,1982,Male
528,4/1/2017,12:20 PM,12:29 PM,3210,Pershing Field,40.74267714,-74.05178863,3220,5 Corners Library,40.73496102,-74.05950308,29211,Subscriber,1980,Male
1109,4/1/2017,12:23 PM,12:41 PM,3210,Pershing Field,40.74267714,-74.05178863,3185,City Hall,40.7177325,-74.043845,26288,Customer,NULL,N/A
228,4/1/2017,12:24 PM,12:28 PM,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,29228,Subscriber,1978,Female
359,4/1/2017,12:28 PM,12:34 PM,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24433,Subscriber,1989,Female
311,4/1/2017,12:30 PM,12:35 PM,3187,Warren St,40.7211236,-74.03805095,3270,Jersey & 6th St,40.72528911,-74.04557168,26258,Subscriber,1989,Male
395,4/1/2017,12:30 PM,12:37 PM,3276,Marin Light Rail,40.71458404,-74.04281706,3279,Dixon Mills,40.72163014,-74.04996783,26315,Subscriber,1985,Female
153,4/1/2017,12:35 PM,12:38 PM,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,29259,Subscriber,1989,Male
207,4/1/2017,12:39 PM,12:43 PM,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,29262,Subscriber,1980,Male
574,4/1/2017,12:40 PM,12:49 PM,3190,Garfield Ave Station,40.71046702,-74.0700388,3185,City Hall,40.7177325,-74.043845,26200,Subscriber,1988,Male
